Temperatura,Deformacion,Esfuerzo
-29.0,0.2,33.73696968
-29.0,0.25,42.46506640625
-29.0,0.3,51.47429748
-29.0,0.35,60.486219701250015
-29.0,0.4,69.19536751999998
-29.0,0.45,77.3381436862501
-29.0,0.5,84.73312500000007
-29.0,0.55,91.29278316125003
-29.0,0.6,97.00662071999999
-29.0,0.65,101.89572212625023
-29.0,0.7,105.93871988000016
-29.0,0.75,108.96917578125024
-29.0,0.8,110.54437727999972
-28.0,0.0,0.0
-28.0,0.05,9.3488034396875
-28.0,0.1,17.52956414
-28.0,0.15,25.5536545321875
-28.0,0.2,33.888032960000004
-28.0,0.25,42.622745117187506
-28.0,0.3,51.61264206
-28.0,0.35,60.593314794687515
-28.0,0.4,69.27124543999997
-28.0,0.45,77.38817496468761
-28.0,0.5,84.75968750000007
-28.0,0.55,91.28801122718752
-28.0,0.6,96.94903583999998
-28.0,0.65,101.75354658218772
-28.0,0.7,105.68267486000016
-28.0,0.75,108.59756542968773
-28.0,0.8,110.12326015999972
-27.0,0.0,0.0
-27.0,0.05,9.326105393125
-27.0,0.1,17.569726160000002
-27.0,0.15,25.663356463125
-27.0,0.2,34.039096240000006
-27.0,0.25,42.78042382812501
-27.0,0.3,51.75098664
-27.0,0.35,60.700409888125016
-27.0,0.4,69.34712335999998
-27.0,0.45,77.43820624312511
-27.0,0.5,84.78625000000007
-27.0,0.55,91.283239293125
-27.0,0.6,96.89145095999999
-27.0,0.65,101.61137103812521
-27.0,0.7,105.42662984000015
-27.0,0.75,108.22595507812522
-27.0,0.8,109.70214303999973
-26.0,0.0,0.0
-26.0,0.05,9.3034073465625
-26.0,0.1,17.609888180000002
-26.0,0.15,25.773058394062502
-26.0,0.2,34.19015952
-26.0,0.25,42.938102539062506
-26.0,0.3,51.889331219999995
-26.0,0.35,60.807504981562516
-26.0,0.4,69.42300127999998
-26.0,0.45,77.4882375215626
-26.0,0.5,84.81281250000006
-26.0,0.55,91.2784673590625
-26.0,0.6,96.83386607999998
-26.0,0.65,101.4691954940627
-26.0,0.7,105.17058482000014
-26.0,0.75,107.85434472656272
-26.0,0.8,109.28102591999972
-25.0,0.0,0.0
-25.0,0.05,9.2807093
-25.0,0.1,17.650050200000003
-25.0,0.15,25.882760325
-25.0,0.2,34.341222800000004
-25.0,0.25,43.09578125000001
-25.0,0.3,52.0276758
-25.0,0.35,60.91460007500002
-25.0,0.4,69.49887919999998
-25.0,0.45,77.5382688000001
-25.0,0.5,84.83937500000006
-25.0,0.55,91.273695425
-25.0,0.6,96.77628119999999
-25.0,0.65,101.32701995000019
-25.0,0.7,104.91453980000014
-25.0,0.75,107.4827343750002
-25.0,0.8,108.85990879999972
-24.0,0.0,0.0
-24.0,0.05,9.2580112534375
-24.0,0.1,17.690212220000003
-24.0,0.15,25.9924622559375
-24.0,0.2,34.49228608000001
-24.0,0.25,43.253459960937505
-24.0,0.3,52.16602038
-24.0,0.35,61.02169516843752
-24.0,0.4,69.57475711999999
-24.0,0.45,77.5883000784376
-24.0,0.5,84.86593750000006
-24.0,0.55,91.2689234909375
-24.0,0.6,96.71869631999999
-24.0,0.65,101.1848444059377
-24.0,0.7,104.65849478000014
-24.0,0.75,107.1111240234377
-24.0,0.8,108.43879167999971
-23.0,0.0,0.0
-23.0,0.05,9.235313206875
-23.0,0.1,17.730374240000003
-23.0,0.15,26.102164186875
-23.0,0.2,34.64334936
-23.0,0.25,43.41113867187501
-23.0,0.3,52.304364959999994
-23.0,0.35,61.12879026187501
-23.0,0.4,69.65063503999998
-23.0,0.45,77.63833135687509
-23.0,0.5,84.89250000000006
-23.0,0.55,91.26415155687499
-23.0,0.6,96.66111143999998
-23.0,0.65,101.04266886187519
-23.0,0.7,104.40244976000014
-23.0,0.75,106.73951367187519
-23.0,0.8,108.0176745599997
-22.0,0.0,0.0
-22.0,0.05,9.2126151603125
-22.0,0.1,17.770536260000004
-22.0,0.15,26.2118661178125
-22.0,0.2,34.794412640000004
-22.0,0.25,43.568817382812504
-22.0,0.3,52.442709539999996
-22.0,0.35,61.23588535531251
-22.0,0.4,69.72651295999998
-22.0,0.45,77.68836263531259
-22.0,0.5,84.91906250000005
-22.0,0.55,91.25937962281247
-22.0,0.6,96.60352655999999
-22.0,0.65,100.90049331781267
-22.0,0.7,104.14640474000012
-22.0,0.75,106.36790332031268
-22.0,0.8,107.59655743999971
-21.0,0.0,0.0
-21.0,0.05,9.18991711375
-21.0,0.1,17.810698280000004
-21.0,0.15,26.321568048750002
-21.0,0.2,34.94547592000001
-21.0,0.25,43.72649609375001
-21.0,0.3,52.58105412
-21.0,0.35,61.34298044875001
-21.0,0.4,69.80239087999999
-21.0,0.45,77.73839391375009
-21.0,0.5,84.94562500000005
-21.0,0.55,91.25460768874997
-21.0,0.6,96.54594167999998
-21.0,0.65,100.75831777375016
-21.0,0.7,103.89035972000012
-21.0,0.75,105.99629296875017
-21.0,0.8,107.17544031999971
-20.0,0.0,0.0
-20.0,0.05,9.1672190671875
-20.0,0.1,17.8508603
-20.0,0.15,26.4312699796875
-20.0,0.2,35.09653920000001
-20.0,0.25,43.884174804687504
